session_id,timestamp,latitude,longitude,surface,confidence
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:45:50.528406+08:00,10.3478589,123.8078535,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:51:35.324245+08:00,10.3469648,123.8079114,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:51:40.308862+08:00,10.3469363,123.8078872,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:55:10.314544+08:00,10.3465856,123.8070534,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:55:15.328643+08:00,10.3465912,123.8070277,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:55:25.318086+08:00,10.3466072,123.8069652,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:56:00.343715+08:00,10.3465803,123.8069465,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:56:05.326923+08:00,10.3465521,123.8069258,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:59:26.242231+08:00,10.3462220,123.8070205,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:06:00.320953+08:00,10.3452085,123.8075416,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:06:08.313531+08:00,10.3451582,123.8075254,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:06:32.318597+08:00,10.3450353,123.8073819,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:06:40.344731+08:00,10.3450378,123.8073415,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:06:56.3305+08:00,10.3450725,123.8072189,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:07:12.311594+08:00,10.3451568,123.8072130,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:08:24.314628+08:00,10.3449251,123.8068777,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:08:40.321237+08:00,10.3449302,123.8067299,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:08:48.343792+08:00,10.3449190,123.8067221,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:09:12.321676+08:00,10.3448715,123.8066703,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:09:20.341536+08:00,10.3448573,123.8066566,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:10:00.315137+08:00,10.3447408,123.8067869,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:10:24.311001+08:00,10.3446506,123.8068286,UNPAVED,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:10:40.330718+08:00,10.3447018,123.8069178,TRAIL,0.50
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:10:56.306643+08:00,10.3446389,123.8069980,UNPAVED,0.50
